name,district,party,age,www,education,segment,oik,imp,lib,vih
Teija Arvidsson,Häme,Kristillisdemokraatit,53,http://www.teijahelina.net,Kasvatustieteen maisteri,Kansalliskonservatiivit,0.008276634,0.269926853,-2.111536414,-0.201403859
Sonja Falk,Häme,Kristillisdemokraatit,38,http://www.sonjafalk.fi,Ylempi korkeakoulututkinto,Oikeisto,1.170671109,-0.857203557,-1.158054615,-0.186320295
Tapani Ihalainen,Häme,Kristillisdemokraatit,48,http://www.tapsantahtiin.fi,keskiaste,Oikeisto,1.032018774,-0.449972128,-1.505875279,0.41717821
Johannes Koskinen,Häme,Kristillisdemokraatit,39,https://johanneskoskinen.wordpress.com/,FM & TM,Kansalliskonservatiivit,0.397396053,-0.2717212,-1.341465582,0.049839225
Ismo Portin,Häme,Kristillisdemokraatit,53,http://www.ismoportin.blogspot.fi,keskiaste & merkononomi/MJD,Oikeisto,1.248470596,0.16638804,-1.250869754,-0.40875233
Mirja Pöhö,Häme,Kristillisdemokraatit,65,,korkeakoulu,Kansalliskonservatiivit,0.825285837,-0.620275022,-1.187528838,-0.599217939
Timo Räihä,Häme,Kristillisdemokraatit,61,http://timojohannes.blogspot.com,Ammattikoulu.Päihdetutkinto,Kansalliskonservatiivit,0.125637304,0.724302155,-1.186021548,-0.210981843
Päivi Räsänen,Häme,Kristillisdemokraatit,55,http://www.paivirasanen.fi,lääketieteen lisensiaatti,Oikeisto,0.930071007,-0.612908148,-1.248413522,-0.834297331
Kirsi Timonen,Häme,Kristillisdemokraatit,50,http://www.kirsitimonen.wordpress.com,lääketieteen lisensiaatti,Kansalliskonservatiivit,0.389911479,0.112297696,-2.056381375,-0.159695722
Teppo Turja,Häme,Kristillisdemokraatit,63,http://www,Taloushallinnon tutkinto & toimittajatutkinto (kesken),Kansalliskonservatiivit,0.362284374,0.396777807,-1.863678316,-0.135699359
Sirkka-Liisa Anttila,Häme,Keskusta,71,http://www.sirkka-liisa.com,hallintonotaarin tutkinto Tampereen Yliopisto,Kansalliskonservatiivit,0.544289202,1.394148885,-0.361977475,-0.059286595
Tapio Eerola,Häme,Keskusta,57,http://www.tapioeerola.fi,toimittajatutkinto,Kansalliskonservatiivit,0.363891299,0.072872974,0.068213886,-0.803434881
Antti Kalliomaa,Häme,Keskusta,38,http://www.kalliomaa.fi,Hallintotieteiden yo. & Nuoriso- ja vapaa-ajanohjaaja,Oikeisto,1.346058688,-1.218681395,0.637397973,0.68112489
Timo Kaunisto,Häme,Keskusta,52,http://www.timokaunisto.fi,Yliopistotutkinto,Kansalliskonservatiivit,0.202675583,-0.496177281,-0.590601791,0.437593225
Hilkka Kemppi,Häme,Keskusta,26,http://www.hilkkakemppi.fi,Restonomi (AMK) & viittä vaille taiteen ja yhteiskuntatieteen maisteri,Oikeisto,0.899580181,-0.376719573,0.402788871,0.694938919
Rami Lehtinen,Häme,Keskusta,39,http://www.ramilehtinen.fi,Ammattikorkekoulu,Kansalliskonservatiivit,0.216275724,1.640907355,-1.258341199,-0.496007482
Eevakaisa Lehtosalo-Lönnberg,Häme,Keskusta,42,http://www.eevakaisa.net,kasvatustieteiden yo,Kansalliskonservatiivit,0.752691818,0.578681558,0.424681362,0.047221741
Tapio Malmiharju,Häme,Keskusta,62,http://www.tapiomalmiharju.fi,Maanviljelysteknikko,Kansalliskonservatiivit,0.381744102,0.160621145,-1.040120087,-0.998594065
Asko Niemelä,Häme,Keskusta,36,http://www.askoniemela.com/,opisto,Kansalliskonservatiivit,0.656125249,-0.002160965,0.284660671,-0.318951782
Marjatta Rahkio,Häme,Keskusta,52,http://www.marjattarahkio.fi,Eläinlääketieteen tohtori,Kansalliskonservatiivit,0.263864314,-0.267642254,-0.769033682,-0.56565421
Heini Ristavaara,Häme,Keskusta,48,http://www.heiniristavaara.fi,Valtiotieteiden maisteri (VTM),Kansalliskonservatiivit,0.044430031,0.42152294,0.361485081,0.138687265
Kaarina Suhonen,Häme,Keskusta,45,http://www.kaarinasuhonen.fi,ylioppilas & alempi korkeakoulututkinto,Kansalliskonservatiivit,-0.109275278,-0.16514049,-1.196544052,0.274717853
