vaalipiiri;id;sukunimi;etunimi;puolue;ikä;sukupuoli;Ammatti;Koulutus;Talousoikeistolaisuus;Nationalismikonservatiivisuus;Arvoliberaalius;Segmentit
03 Varsinais-Suomen vaalipiiri;5577;Ahlfors;Jari;Itsenäisyyspuolue;36;M;Maanrakentaja , Aktivisti;ammattitutkinto;-,914496364343706;,450818296475392;,748318793352563;5
06 Hämeen vaalipiiri;4472;ahtola;tero;Itsenäisyyspuolue;38;M;Putkiasentaja;ammattitutkinto;,262079941005078;1,64724052493055;-,0440697083739166;2
07 Pirkanmaan vaalipiiri;5984;AlÃ©n;Ari;Itsenäisyyspuolue;0;M; ; ; ; ; ; 
07 Pirkanmaan vaalipiiri;5617;Asikainen;Lotta;Itsenäisyyspuolue;24;F;Erikoishitsaaja;ammattitutkinto; ; ; ; 
06 Hämeen vaalipiiri;5653;Aspholm;Helge;Itsenäisyyspuolue;61;M;pinnoittaja;ammattitutkinto;-1,05675177218317;1,44736007185111;,930790696307518;2
03 Varsinais-Suomen vaalipiiri;4461;Autero;Henri;Itsenäisyyspuolue;22;M;Opiskelija (datanomi); ; ; ; ; 
13 Lapin vaalipiiri;5219;Berg;Roland;Itsenäisyyspuolue;64;M;Musiikinopettaja/kulttuurikuraattori;korkeakoulututkinto; ; ; ; 
02 Uudenmaan vaalipiiri;4966;Burtsov;Jukka;Itsenäisyyspuolue;44;M;yrittäjä/autonasentaja;ammattitutkinto; ; ; ; 
07 Pirkanmaan vaalipiiri;5128;Davidsson;Jukka;Itsenäisyyspuolue;58;M;Ekonomi;korkeakoulututkinto; ; ; ; 
13 Lapin vaalipiiri;4775;Erkkilä;Akseli;Itsenäisyyspuolue;23;M;Päätoiminen opiskelija.;ylioppilas;-,93877230158191;1,62705167247899;,694231669221155;2
03 Varsinais-Suomen vaalipiiri;5497;Eskola;Päivi;Itsenäisyyspuolue;71;F;VTK, vaihtoehtohoitaja, gemmologi, Reiki Master, hierontaterapeutti, intialainen päänhieronta, somistaja jne; ;-1,19115027369846;1,00366813392877;1,4680637210132;3
04 Satakunnan vaalipiiri;4508;Evilampi;Petteri;Itsenäisyyspuolue;42;M;Elokuvaleikkaaja; ;-,299018689697016;1,04976342607919;1,06964412176765;2
02 Uudenmaan vaalipiiri;4602;Finskas;Jan Erik;Itsenäisyyspuolue;46;M;Myyntiedustaja;ammattitutkinto;-1,58248470061591;,379834929328258;,596793875206235;3
02 Uudenmaan vaalipiiri;5067;Hagman;Marita;Itsenäisyyspuolue;57;F;toiminnanjohtaja;ammattitutkinto; ; ; ; 
13 Lapin vaalipiiri;5733;Harri;Hannu;Itsenäisyyspuolue;23;M;Kokki;ammattitutkinto;-,557800439137155;,852632749457196;1,39503033959307;2
10 Vaasan vaalipiiri;6065;Hautoniemi;Jere;Itsenäisyyspuolue;0;M; ; ; ; ; ; 
01 Helsingin vaalipiiri;4534;Helin;Kirsi;Itsenäisyyspuolue;42;F;NLP-ohjaaja, sihteeri.;ylioppilas;-1,24797167221893;,144581924312868;,921624665253111;3
03 Varsinais-Suomen vaalipiiri;5388;Hentunen;Pasi;Itsenäisyyspuolue;55;M;Varastotyöntekijä;korkeakoulututkinto;-1,53948068137395;,415767713987523;,606617840416012;3
04 Satakunnan vaalipiiri;5578;Herrala;Marjatta;Itsenäisyyspuolue;66;F;filosofian maisteri, matematiikan opettaja; ;-,743481592450769;-,248832804827282;,0477918419250688;5
08 Kaakkois-Suomen vaalipiiri;5519;Hirvonen;Timo;Itsenäisyyspuolue;64;M;Toimittaja;ylioppilas;-,651022532873725;1,21998314450674;-,160297933245332;2
02 Uudenmaan vaalipiiri;5486;Holm;Stefan;Itsenäisyyspuolue;26;M; ;ylioppilas;-1,25102155814919;1,11109460328235;,13538201347114;2
01 Helsingin vaalipiiri;6229;Holmsten;Kirsi;Itsenäisyyspuolue;55;F;markkinointipäällikkö;ammattitutkinto;,3287602929345;,848097398352531;,0373249512961263;2
03 Varsinais-Suomen vaalipiiri;5925;Honkasalo;Teppo;Itsenäisyyspuolue;0;M; ; ; ; ; ; 
03 Varsinais-Suomen vaalipiiri;5696;Honkonen;Juhani;Itsenäisyyspuolue;31;M;elektroniikan insinööri (AMK);korkeakoulututkinto; ; ; ; 
12 Oulun vaalipiiri;4897;Hämäläinen;Arto;Itsenäisyyspuolue;34;M;Kuljetusyrittäjä 3:nessa polvessa;ammattitutkinto;-,183202321302229;1,54480753808376;1,73512119880448;2
01 Helsingin vaalipiiri;5859;Hämäläinen;Jari;Itsenäisyyspuolue;0;M; ; ; ; ; ; 
07 Pirkanmaan vaalipiiri;5983;Hämäläinen;Juha;Itsenäisyyspuolue;0;M; ; ; ; ; ; 
03 Varsinais-Suomen vaalipiiri;5320;Hämäläinen;Juha Ilari;Itsenäisyyspuolue;44;M;uutisleikkaaja, vapaa kirjoittaja; ;-,738157633101154;-,0653745956986024;1,33370534949257;3
02 Uudenmaan vaalipiiri;6167;Ikonen;Hannu Hanski;Itsenäisyyspuolue;61;M;operaattori;joku muu;-1,41123768393799;,182482411916097;1,11697664670127;3
12 Oulun vaalipiiri;4822;Impola;Jaakko;Itsenäisyyspuolue;31;M;Insinööri;korkeakoulututkinto; ; ; ; 
